NAME,TYPE,GROUP,LAT,LONG,THUMBNAIL,NOTES,NOTES_NEW,x,y
Parece Vela,Atoll Reef,"Isolated, south of Japan",20.4215,136.0919,http://dpanther2.fiu.edu/worldAtolls/274. Parece Vela.jpg,"aka Okinotori Shima, lagoon ~3.5 km2 by Google Earth; depth 3-4.6m. Ref: Parece link","aka Okinotori Shima, lagoon ~3.5 km2 by Google Earth; depth 3-4.6m. Ref: Parece link",15149681.009089109,2323030.8085287926
Dhaalu,Atoll,Maldive Islands,2.8372,72.934,http://dpanther2.fiu.edu/worldAtolls/64. Dhaalu.jpg,"aka So. Nilandu. Platform 739 km2, Dmax 68m. Ref: Isaack & Gischler 2015.","aka So. Nilandu. Platform 739 km2, Dmax 68m. Ref: Isaack & Gischler 2015.",8118975.741516624,315964.81417904055
Wake,Atoll,"Isolated, Mid-Pacific",19.2977,166.6262,http://dpanther2.fiu.edu/worldAtolls/275. Wake.jpg,"Admin. by U.S. Air Force, 3000 m runway. Lagoon 17 km2, Dmax 26m Ref: Purdy 2001.","Admin. by U.S. Air Force, 3000 m runway. Lagoon 17 km2, Dmax 26m Ref: Purdy 2001.",18548743.736818165,2190016.814486958
Bikini,Atoll,Marshall Islands,11.5904,165.3822,http://dpanther2.fiu.edu/worldAtolls/276. Bikini.jpg,"Platform 799 km2 with six passes at SW, 2 shallow rim areas SW & S. Lagoon 629 km2 with few pinnacles; Dx̄ 46m, Dmax 60m. Site of U.S. nuclear tests 1946-1958. Ref: Allen Coral Atlas 06/21; E2; P10.","Platform 799 km2 with six passes at SW, 2 shallow rim areas SW & S. Lagoon 629 km2 with few pinnacles; Dx̄ 46m, Dmax 60m. Site of U.S. nuclear tests 1946-1958. Ref: Allen Coral Atlas 06/21; E2; P10.",18410262.29027133,1299128.2774609872
Kolomadulu,Atoll,Maldive Islands,2.3764,73.1045,http://dpanther2.fiu.edu/worldAtolls/65. Kolomadulu.jpg,"islands ~7.7% of rim area. Rim continuous except for passes. Lagoon faro development reduced to four at west. Platform 1617 km2, Dmax 79m. Ref: Isaack & Gischler 2015.","islands ~7.7% of rim area. Rim continuous except for passes. Lagoon faro development reduced to four at west. Platform 1617 km2, Dmax 79m. Ref: Isaack & Gischler 2015.",8137955.714696871,264615.5166688809
Enewetak,Atoll,Marshall Islands,11.4948,162.2244,http://dpanther2.fiu.edu/worldAtolls/277. Enewetak.jpg,"Platform 1084 km2 1 pass at E rim; 2 shallower at S & W. Lagoon 932 km2, Dx̄ 48 m; Dmax 64 m, scattered pinnacles at center. Site of U.S. Nuclear tests 1948-1958. Refs: Allen Coral Atlas 07/21; E2; P1; Y1.","Platform 1084 km2 1 pass at E rim; 2 shallower at S & W. Lagoon 932 km2, Dx̄ 48 m; Dmax 64 m, scattered pinnacles at center. Site of U.S. Nuclear tests 1948-1958. Refs: Allen Coral Atlas 07/21; E2; P1; Y1.",18058737.602244336,1288266.46571345
Haddummati,Atoll,Maldive Islands,1.9212,73.4046,http://dpanther2.fiu.edu/worldAtolls/66. Haddummati.jpg,"Platform 881 km2, continuous except for passes; seagrass on rim islands except NW. Dmax 73m. Refs: Allen Coral Atlas, 05/21; Isaack & Gischler 2015.","Platform 881 km2, continuous except for passes; seagrass on rim islands except NW. Dmax 73m. Refs: Allen Coral Atlas, 05/21; Isaack & Gischler 2015.",8171362.693883937,213907.09372469407
Rongelap,Atoll,Marshall Islands,11.3333,166.8131,http://dpanther2.fiu.edu/worldAtolls/278. Rongelap.jpg,"Platform 1146 km2 with 9 passes: 4S, 3 E,1W, 1N. Lagoon 1026 km2 with few pinnacles, Dx̄ 49m, Dmax 62m. Ref: Allen Coral Atlas 07/21; E2, P10.","Platform 1146 km2 with 9 passes: 4S, 3 E,1W, 1N. Lagoon 1026 km2 with few pinnacles, Dx̄ 49m, Dmax 62m. Ref: Allen Coral Atlas 07/21; E2, P10.",18569549.349647433,1269925.6288377172
Rongerik,Atoll Reef,Marshall Islands,11.3565,167.4482,http://dpanther2.fiu.edu/worldAtolls/279. Rongerik.jpg,"Platform 209 km2, islands 3.5% of rim, Lagoon 148 km2 with submerged rim at W and 1 pass at E. Many patch reefs in E lagoon;  Dx̄ 35m, Dmax 49m. Ref: Allen Coral Atlas 07/21; E2; M6; P10.","Platform 209 km2, islands 3.5% of rim, Lagoon 148 km2 with submerged rim at W and 1 pass at E. Many patch reefs in E lagoon;  Dx̄ 35m, Dmax 49m. Ref: Allen Coral Atlas 07/21; E2; M6; P10.",18640248.358250238,1272559.7088495856
Suvadiva,Atoll,Maldive Islands,0.4824,73.275,http://dpanther2.fiu.edu/worldAtolls/67. Suvadiva.jpg,"Platform 3152 km2 with few faros at NW islands, esp. at east with seagrass behind coral and rock, Dmax 82m. Refs: Allen Coral Atlas 05/21; Isaack & Gischler 2015.","Platform 3152 km2 with few faros at NW islands, esp. at east with seagrass behind coral and rock, Dmax 82m. Refs: Allen Coral Atlas 05/21; Isaack & Gischler 2015.",8156935.687877124,53701.156818743824
Ailinginae,Atoll,Marshall Islands,11.1429,166.4339,http://dpanther2.fiu.edu/worldAtolls/280. Ailinginae.jpg,"Platform 157 km2 with 2 passes at S rim. Lagoon 104 km2, scattered pinnacles, more in east lagoon. Dmax 31m. Ref: Allen Coral Atlas 07/21; E2; P10.","Platform 157 km2 with 2 passes at S rim. Lagoon 104 km2, scattered pinnacles, more in east lagoon. Dmax 31m. Ref: Allen Coral Atlas 07/21; E2; P10.",18527336.998738624,1248316.0402268362
Addu,Atoll,Maldive Islands,-0.649,73.1674,http://dpanther2.fiu.edu/worldAtolls/68. Addu.jpg,"Platform 158 km2, no faros; seagrass at NW/NE islands. Lagoon Dmax 79m. Refs: Allen Coral Atlas 05/21; Isaack & Gischler 2015.  Carbonate Evaporites. doi 10.1007/s13146-015-0268-z","Platform 158 km2, no faros; seagrass at NW/NE islands. Lagoon Dmax 79m. Refs: Allen Coral Atlas 05/21; Isaack & Gischler 2015.  Carbonate Evaporites. doi 10.1007/s13146-015-0268-z",8144957.710667769,-72247.89450431317
Wotho,Atoll,Marshall Islands,10.1046,165.9733,http://dpanther2.fiu.edu/worldAtolls/281. Wotho.jpg,"Platform 129.7 km2, much of western rim at or below sea level. Lagoon 97 km2. Dmax 37m. Refs: Allen Coral Atlas 07/21; P10 for depth only, lagoon area listed as 438 km2.","Platform 129.7 km2, much of western rim at or below sea level. Lagoon 97 km2. Dmax 37m. Refs: Allen Coral Atlas 07/21; P10 for depth only, lagoon area listed as 438 km2.",18476063.241279244,1130715.531377616
Pratas,Atoll Reef,South China Sea,20.6842,116.8187,http://dpanther2.fiu.edu/worldAtolls/69. Dongsha.jpg,"aka Dongsha. Platform 424 km2, island 2% of rim. Lagoon ~310 km2 with large areas of seagrass and sand; coral esp. on eastern back reef slope. Typical  lagoon depth 10-15m, Dmax 23.7m. Refs: Allen Coral Atlas 06/21; K3 for depth.","aka Dongsha. Platform 424 km2, island 2% of rim. Lagoon ~310 km2 with large areas of seagrass and sand; coral esp. on eastern back reef slope. Typical  lagoon depth 10-15m, Dmax 23.7m. Refs: Allen Coral Atlas 06/21; K3 for depth.",13004198.199132191,2354262.4012679798
Ujelang,Atoll,Marshall Islands,9.8237,160.8952,http://dpanther2.fiu.edu/worldAtolls/282. Ujelang.jpg,"Platform 107 km2, 3 shallow passes at SW rim. Lagoon 71.5 km2 with few scattered patches, Dmax 49m. Refs: Allen Coral Atlas 07/21; P10.","Platform 107 km2, 3 shallow passes at SW rim. Lagoon 71.5 km2 with few scattered patches, Dmax 49m. Refs: Allen Coral Atlas 07/21; P10.",17910771.735081915,1098966.9645120306
North Reef,Atoll Reef,"Paracel Islands, So. China Sea",17.0923,111.5,http://dpanther2.fiu.edu/worldAtolls/70. Beijiao.jpg,"aka Beijiao. Platform 48.5 km2 with coral/algal rim. Lagoon at platform west, 14.6 km2 with sand/microalgal edge, central 8 km2 with numerous patch reefs, Dmax 20m. Refs: Allen Coral Atlas 05/21; P10 depth only.","aka Beijiao. Platform 48.5 km2 with coral/algal rim. Lagoon at platform west, 14.6 km2 with sand/microalgal edge, central 8 km2 with numerous patch reefs, Dmax 20m. Refs: Allen Coral Atlas 05/21; P10 depth only.",12412123.22345001,1931571.9539004872
Kwajalein,Atoll,Marshall Islands,9.1876,167.4552,http://dpanther2.fiu.edu/worldAtolls/283. Kwajalein.jpg,"Largest atoll in Marshall group. Platform 2304 km2 with several passes and much of rim submerged at W & SW. Lagoon 2174 km2 with few pinnacles, Dmax 61m. Ref: Allen Coral Atlas 06/21; E2; P10.","Largest atoll in Marshall group. Platform 2304 km2 with several passes and much of rim submerged at W & SW. Lagoon 2174 km2 with few pinnacles, Dmax 61m. Ref: Allen Coral Atlas 06/21; E2; P10.",18641027.594685797,1027170.4373142591
Ujae,Atoll Reef,Marshall Islands,9.0679,165.6367,http://dpanther2.fiu.edu/worldAtolls/284. Ujae.jpg,"Platform 261 km2, islands 4% of rim;  NW section at or below sea level; 1 pass at west. Lagoon 205 km2 with scattered pinnacles. Refs: Allen Coral Atlas 07/21.","Platform 261 km2, islands 4% of rim;  NW section at or below sea level; 1 pass at west. Lagoon 205 km2 with scattered pinnacles. Refs: Allen Coral Atlas 07/21.",18438593.10067822,1013674.5950882058
Amphitrite,Atoll Reef,"Paracel Islands, So. China Sea",16.9603,112.285,http://dpanther2.fiu.edu/worldAtolls/71. Xuande.jpg,"aka Xuande. Platform 375 km2, rim not clearly defined as an atoll. Dmax 67m. Ref: P10.","aka Xuande. Platform 375 km2, rim not clearly defined as an atoll. Dmax 67m. Ref: P10.",12499509.023722732,1916204.2162347606
Crescent,Atoll Reef,"Paracel Islands, So. China Sea",16.5,111.6799,http://dpanther2.fiu.edu/worldAtolls/72. Yongle.jpg,"aka Yongle. Continental slope atoll. Platform 300 km2, 8 islands incl. one at W, rimmed by coral/algae. Part of S rim submerged. Lagoon with patch reefs & sand bars at shallower E/NE lagoon, but ~75% >20m, Dmax 49m. Refs: Allen Coral Atlas 05/21; P10; W1","aka Yongle. Continental slope atoll. Platform 300 km2, 8 islands incl. one at W, rimmed by coral/algae. Part of S rim submerged. Lagoon with patch reefs & sand bars at shallower E/NE lagoon, but ~75% >20m, Dmax 49m. Refs: Allen Coral Atlas 05/21; P10; W1",12432149.599843722,1862698.872150694
Lae,Atoll,Marshall Islands,8.9374,166.2406,http://dpanther2.fiu.edu/worldAtolls/285. Lae.jpg,"Platform 28.1 km2, shallow channel in western rim; lagoon 17.1 km2, Dmax 66m. Ref: Allen Coral Atlas 07/21; P10 depth only.","Platform 28.1 km2, shallow channel in western rim; lagoon 17.1 km2, Dmax 66m. Ref: Allen Coral Atlas 07/21; P10 depth only.",18505818.941168286,998966.2071442327
Vuladdore,Atoll Reef,"Paracel Islands, So. China Sea",16.3456,112.0181,http://dpanther2.fiu.edu/worldAtolls/73. Yuzhou.jpg,"aka Yuzhuo. Platform 50.9 km2, coral/algal rim NE-SW. Lagoon 17.2 km2, mostly sand with microalgal edge. Deeper area 6.4 km2, Dmax 17m with reticulated sand ridges. Refs: Allen Coral Atlas 05/21; P10.","aka Yuzhuo. Platform 50.9 km2, coral/algal rim NE-SW. Lagoon 17.2 km2, mostly sand with microalgal edge. Deeper area 6.4 km2, Dmax 17m with reticulated sand ridges. Refs: Allen Coral Atlas 05/21; P10.",12469797.851630012,1844780.0775324304
Lib,"Closed Atoll, Altered Salinity/Oxygen",Marshall Islands,8.3132,167.3805,http://dpanther2.fiu.edu/worldAtolls/286. Lib.jpg,"Platform 2.1 km2 with a remnant 12 ha pond-like mesohaline lagoon, Dx̄ 2.3m, Dmax 3.3m; x̄ salinity ~27‰. Refs: Allen Coral Atlas 06/21; M5.","Platform 2.1 km2 with a remnant 12 ha pond-like mesohaline lagoon, Dx̄ 2.3m, Dmax 3.3m; x̄ salinity ~27‰. Refs: Allen Coral Atlas 06/21; M5.",18632712.028723538,928685.3630955276
Discovery,Atoll Reef,"Paracel Islands, So. China Sea",16.2281,111.6864,http://dpanther2.fiu.edu/worldAtolls/74. Huaguang.jpg,"aka Huaguang. Platform 194-206 km2 (deeper reef slope outline unclear), thin coral rim with two passes at S. Lagoon 143 km2, sandy with microalgal edge. Numerous patch reefs approaching deeper lagoon, Dmax 30m. Refs: Allen Coral Atlas 05/21; P10.","aka Huaguang. Platform 194-206 km2 (deeper reef slope outline unclear), thin coral rim with two passes at S. Lagoon 143 km2, sandy with microalgal edge. Numerous patch reefs approaching deeper lagoon, Dmax 30m. Refs: Allen Coral Atlas 05/21; P10.",12432873.176533874,1831153.1830832514
Namu,Atoll,Marshall Islands,7.9867,168.1679,http://dpanther2.fiu.edu/worldAtolls/287. Namu.jpg,"Platform 462 km2; islands 6% of rim with multiple hoa and 3 passes at west. Lagoon 406 km2, Dmax 49m. Refs: Allen Coral Atlas 06/21; P10.","Platform 462 km2; islands 6% of rim with multiple hoa and 3 passes at west. Lagoon 406 km2, Dmax 49m. Refs: Allen Coral Atlas 06/21; P10.",18720364.995774154,891968.6759539868
Passau Keah,Atoll Reef,"Paracel Islands, So. China Sea",16.0519,111.7866,http://dpanther2.fiu.edu/worldAtolls/75. Panshiu.jpg,"aka Panshiyu. Continental slope atoll. Platform 28.9 km2 rimmed by coral/algae. Lagoon 10.4 km2 primarily sand with shallow rim of microalgae esp. at S, leading to a 6.7 km2 area Dmax 11m. Refs: Allen Coral Atlas 05/21; P10; W1.","aka Panshiyu. Continental slope atoll. Platform 28.9 km2 rimmed by coral/algae. Lagoon 10.4 km2 primarily sand with shallow rim of microalgae esp. at S, leading to a 6.7 km2 area Dmax 11m. Refs: Allen Coral Atlas 05/21; P10; W1.",12444027.389511365,1810733.858598165
Ailinglaplap,Atoll,Marshall Islands,7.3947,168.7634,http://dpanther2.fiu.edu/worldAtolls/288. Ailinglaplap.jpg,"Platform 819 km2; 4 passes at NW, 1 at south. Lagoon 759 km2 with >20 pinnacles,  Dmax 62m. Refs: Allen Coral Atlas 06/21; P10.","Platform 819 km2; 4 passes at NW, 1 at south. Lagoon 759 km2 with >20 pinnacles,  Dmax 62m. Refs: Allen Coral Atlas 06/21; P10.",18786655.75254155,825469.0652274364
Bombay Reef,Atoll Reef,"Paracel Islands, So. China Sea",16.0433,112.5246,http://dpanther2.fiu.edu/worldAtolls/76. Langhua.jpg,"aka Langhua. Platform 80.5 km2 with coral/algal rim. Lagoon 39.4 km2 shallow, sand & micro algae; ~17 km2 deeper with coral plateau areas, Dmax 17m. Refs: Allen Coral Atlas 05/21; P10.","aka Langhua. Platform 80.5 km2 with coral/algal rim. Lagoon 39.4 km2 shallow, sand & micro algae; ~17 km2 deeper with coral plateau areas, Dmax 17m. Refs: Allen Coral Atlas 05/21; P10.",12526181.1737168,1809737.692755452
Scarborough,Atoll Reef,South China Sea,15.1462,117.7701,http://dpanther2.fiu.edu/worldAtolls/77. Huangyan Dao.jpg,"aka Huangyan Dao. Platform 129.2 km2 with coral/algal rim. Lagoon 102.7 km2 rimmed with seagrass, sand & microalgae. Apparent depth mostly 10-20m with central coral plateau and back reef slope at NE. Ref: Allen Coral Atlas 05/21.","aka Huangyan Dao. Platform 129.2 km2 with coral/algal rim. Lagoon 102.7 km2 rimmed with seagrass, sand & microalgae. Apparent depth mostly 10-20m with central coral plateau and back reef slope at NE. Ref: Allen Coral Atlas 05/21.",13110107.562672915,1706054.9467276467
Jaluit,Atoll,Marshall Islands,6.0064,169.5537,http://dpanther2.fiu.edu/worldAtolls/289. Jaluit.jpg,"Platform 855 km2, passes E/SE/SW. Lagoon 795 km2 with very narrow apron, but sediment spits and embayments along western margin; Dmax 49m. Refs: Allen Coral Atlas 06/21; P10.","Platform 855 km2, passes E/SE/SW. Lagoon 795 km2 with very narrow apron, but sediment spits and embayments along western margin; Dmax 49m. Refs: Allen Coral Atlas 06/21; P10.",18874631.546115477,669857.4303368354
Namorik,Closed Atoll,Marshall Islands,5.6137,168.1155,http://dpanther2.fiu.edu/worldAtolls/290. Namorik.jpg,aka Namdrick. Platform 23.4 km2. Lagoon 10.7 km2. Ref: Allen Coral Atlas 06/21.,aka Namdrick. Platform 23.4 km2. Lagoon 10.7 km2. Ref: Allen Coral Atlas 06/21.,18714531.854456596,625916.4527430926
North Danger,Atoll Reef,"Spratly Islands, So. China Sea",11.4107,114.3549,http://dpanther2.fiu.edu/worldAtolls/78. Shuangzi.jpg,"aka Shuangzi. Platform 73 km2 with most of E & S rim submerged. Four islands rimmed with coral/algae. Lagoon 54.2 km2, Dmax 48m. Ref: Allen Coral Atlas 05/21; P10, depth only.","aka Shuangzi. Platform 73 km2 with most of E & S rim submerged. Four islands rimmed with coral/algae. Lagoon 54.2 km2, Dmax 48m. Ref: Allen Coral Atlas 05/21; P10, depth only.",12729929.237715725,1278714.3003991824
Ebon,Atoll,Marshall Islands,4.6349,168.7192,http://dpanther2.fiu.edu/worldAtolls/291. Ebon.jpg,Platform 129 km2 with sinuous channel at SW. Lagoon 107 km2 Dmax 33m  Ref: Allen Coral Atlas 06/21; P10.,Platform 129 km2 with sinuous channel at SW. Lagoon 107 km2 Dmax 33m  Ref: Allen Coral Atlas 06/21; P10.,18781735.431048494,516518.3547026461
Bokaak,Closed Atoll,Marshall Islands,14.6559,168.9733,http://dpanther2.fiu.edu/worldAtolls/292. Bokaak.jpg,"aka Taongi. Platform 114.1 km2, west rim awash at low tide. Lagoon 95.1 km2 with subm. apron; 73.8 without. Pinnacles at east; ribbon reefs east central. Dx̄ 13m; Dmax 15m. Refs: Allen Coral Atlas 06/21; M6.","aka Taongi. Platform 114.1 km2, west rim awash at low tide. Lagoon 95.1 km2 with subm. apron; 73.8 without. Pinnacles at east; ribbon reefs east central. Dx̄ 13m; Dmax 15m. Refs: Allen Coral Atlas 06/21; M6.",18810021.713659067,1649575.4831172563
Thitu East,Atoll Reef,"Spratly Islands, So. China Sea",11.07,114.35,http://dpanther2.fiu.edu/worldAtolls/79.  Zhongya.jpg,"aka Zhongye. Platform 20.6 km2, submerged at NW & SE, coral/algal rim except SE. Lagoon ~8 km2 with patch reef/algae, esp. at NW. Dmax 11m. Refs: Allen Coral Atlas 05/21; P10 depth only.","aka Zhongye. Platform 20.6 km2, submerged at NW & SE, coral/algal rim except SE. Lagoon ~8 km2 with patch reef/algae, esp. at NW. Dmax 11m. Refs: Allen Coral Atlas 05/21; P10 depth only.",12729383.772210835,1240045.9582681896
Thitu West,Atoll Reef,"Spratly Islands, So. China Sea",11.0505,114.2445,http://dpanther2.fiu.edu/worldAtolls/80. Zhongye.jpg,"aka Zhongya. Platform 47.5 km2, six main islands rimmed by coral/algae at N & W; SE rim open save 37 ha island and surrounding plateaus. Lagoon 26.7 km2, Dmax 35m. Ref: Allen Coral Atlas 05/21; P10 depth only.","aka Zhongya. Platform 47.5 km2, six main islands rimmed by coral/algae at N & W; SE rim open save 37 ha island and surrounding plateaus. Lagoon 26.7 km2, Dmax 35m. Ref: Allen Coral Atlas 05/21; P10 depth only.",12717639.565932143,1237834.145970401
Bikar,Atoll Reef,Marshall Islands,12.2439,170.1074,http://dpanther2.fiu.edu/worldAtolls/293. Bikar.jpg,"Platform 61.8 km2, Islands 1.9 percent of rim. One pass at west barely navigable by small boat. Lagoon 49.1 km2 with subm. apron; 38.3 km2 without. Numerous pinnacles; ribbon reefs at north. Dx̄ 18-20m, Dmax 24m. Refs: Allen Atlas 06/21; M6.","Platform 61.8 km2, Islands 1.9 percent of rim. One pass at west barely navigable by small boat. Lagoon 49.1 km2 with subm. apron; 38.3 km2 without. Numerous pinnacles; ribbon reefs at north. Dx̄ 18-20m, Dmax 24m. Refs: Allen Atlas 06/21; M6.",18936269.148167714,1373478.447038818
Utrik,Atoll,Marshall Islands,11.2458,169.7902,http://dpanther2.fiu.edu/worldAtolls/294. Utrik.jpg,"Platform 107.1 km2, Shallow channel (arrow) reported to be 4->5 m deep, navigable with difficulty. Lagoon 70.0 km2, Dmax 49m. Few scattered pinnacles, E lagoon. Refs: Allen Coral Atlas 06/21; S2; P10.","Platform 107.1 km2, Shallow channel (arrow) reported to be 4->5 m deep, navigable with difficulty. Lagoon 70.0 km2, Dmax 49m. Few scattered pinnacles, E lagoon. Refs: Allen Coral Atlas 06/21; S2; P10.",18900958.60568808,1259992.9793812009
Subi,Closed Atoll,"Spratly Islands, So. China Sea",10.9238,114.0863,http://dpanther2.fiu.edu/worldAtolls/81. Zhubi.jpg,"aka Zhubi. Platform 16.4 km2 Rim with coral/algae at W & S. Atoll was closed but now heavily modified by construction N, W & S. Lagoon 7.8 km2, Dmax 24m. Refs: Allen Coral Atlas 05/21; Z1.","aka Zhubi. Platform 16.4 km2 Rim with coral/algae at W & S. Atoll was closed but now heavily modified by construction N, W & S. Lagoon 7.8 km2, Dmax 24m. Refs: Allen Coral Atlas 05/21; Z1.",12700028.822488653,1223466.6056996253
Taka,Atoll Reef,Marshall Islands,11.1454,169.6238,http://dpanther2.fiu.edu/worldAtolls/295. Taka.jpg,"Platform 139.4 km2, islands 1.8% of rim; low relief rim and one pass at SW. Lagoon 102.5 km2, Dx̄ ~36m, Dmax 51m. Scattered pinnacles at S. Refs: Allen Coral Atlas 06/21; M6; P10.","Platform 139.4 km2, islands 1.8% of rim; low relief rim and one pass at SW. Lagoon 102.5 km2, Dx̄ ~36m, Dmax 51m. Scattered pinnacles at S. Refs: Allen Coral Atlas 06/21; M6; P10.",18882435.042420086,1248599.6873985587
Irving,Atoll Reef,"Spratly Islands, So. China Sea",10.8718,114.9198,http://dpanther2.fiu.edu/worldAtolls/82. Cailun.jpg,"aka Cailun; triangular atoll reef with partly submerged tail at SW. Platform 6.8 km2 rimmed with coral/algae, esp. at N-SW and two of tail. Lagoon 1.5 km2, <10m deep with sand apron/µalgae surrounding  deeper back reef slope.  Ref: Allen Coral Atlas 05/","aka Cailun; triangular atoll reef with partly submerged tail at SW. Platform 6.8 km2 rimmed with coral/algae, esp. at N-SW and two of tail. Lagoon 1.5 km2, <10m deep with sand apron/µalgae surrounding  deeper back reef slope.  Ref: Allen Coral Atlas 05/",12792813.61806484,1217571.6827639267
Ailuk,Atoll,Marshall Islands,10.3134,169.9373,http://dpanther2.fiu.edu/worldAtolls/296. Ailuk.jpg,"Platform 238 km2, 4 passes at west. Lagoon 191 km2 with scattered pinnacles, more at central east lagoon, Dmax 53m. Refs: Allen Coral Atlas 06/21; P10.","Platform 238 km2, 4 passes at west. Lagoon 191 km2 with scattered pinnacles, more at central east lagoon, Dmax 53m. Refs: Allen Coral Atlas 06/21; P10.",18917333.702783775,1154332.9712693556
Likiep,Atoll,Marshall Islands,9.897,169.1366,http://dpanther2.fiu.edu/worldAtolls/297. Likiep.jpg,"Platform 489 km2, parts of western rim shallow, passes at west and south. Lagoon 414 km2 with scattered pinnacles, Dmax 56m. Refs: Allen Coral Atlas 06/21; P10.","Platform 489 km2, parts of western rim shallow, passes at west and south. Lagoon 414 km2 with scattered pinnacles, Dmax 56m. Refs: Allen Coral Atlas 06/21; P10.",18828200.1865056,1107249.0258139935
Seahorse,Atoll Reef,"Spratly Islands, So. China Sea",10.7931,117.7809,http://dpanther2.fiu.edu/worldAtolls/83. Haima.jpg,"aka Haima. Platform 92 km2. Rim submerged 12-15m but with pronounced spur & groove systems. Reefs developed at SW and NW rim. Dmax 53m. Refs: Allen Coral Atlas 06/21; P10 (depth only), S8.","aka Haima. Platform 92 km2. Rim submerged 12-15m but with pronounced spur & groove systems. Reefs developed at SW and NW rim. Dmax 53m. Refs: Allen Coral Atlas 06/21; P10 (depth only), S8.",13111309.813173486,1208651.896136313
Wotje,Atoll,Marshall Islands,9.4385,170.0167,http://dpanther2.fiu.edu/worldAtolls/298. Wotje.jpg,Platform 786 km2 with 14 km of SW rim submerged. Lagoon 709 km2 with passes at NW & S. Few pinnacles.,Platform 786 km2 with 14 km of SW rim submerged. Lagoon 709 km2 with passes at NW & S. Few pinnacles.,18926172.470352758,1055473.5882129604
Loaita,Atoll Reef,"Spratly Islands, So. China Sea",10.7399,114.4892,http://dpanther2.fiu.edu/worldAtolls/84. Daoming.jpg,"aka Daoming. Platform 507 km2, Dmax 53m. Most of rim submerged except 8 coral-rimmed islands at S/SW and 2 at NE. Refs: Allen Coral Atlas 05/21; Purdy, 2001.","aka Daoming. Platform 507 km2, Dmax 53m. Most of rim submerged except 8 coral-rimmed islands at S/SW and 2 at NE. Refs: Allen Coral Atlas 05/21; Purdy, 2001.",12744879.445329268,1202623.5803974245
Jackson,Atoll Reef,"Spratly Islands, So. China Sea",10.4975,115.7546,http://dpanther2.fiu.edu/worldAtolls/85. Jiesheng.jpg,"aka Jiesheng. Box-like platform 81.5 km2 with four islands at 'corners' rimmed by coral/algae. Lagoon 64 km2, mostly >20m deep, only a few pinnacles. Dmax 43m. Refs: Allen Coral Atlas 05/21; P10 depth only.","aka Jiesheng. Box-like platform 81.5 km2 with four islands at 'corners' rimmed by coral/algae. Lagoon 64 km2, mostly >20m deep, only a few pinnacles. Dmax 43m. Refs: Allen Coral Atlas 05/21; P10 depth only.",12885743.128979076,1175169.5715095184
Erikub,Atoll Reef,Marshall Islands,9.142,170.0205,http://dpanther2.fiu.edu/worldAtolls/299. Erikub.jpg,"Islands 4.5 percent of rim area; Platform 309 km2, islands on 4.5% of rim but W & N/NW low relief with multiple passes. Lagoon 271 km2 with 3 passes at SW, few pinnacles, Dmax ≥ 55m. Ref: Allen Coral Atlas 06/21; M6.","Islands 4.5 percent of rim area; Platform 309 km2, islands on 4.5% of rim but W & N/NW low relief with multiple passes. Lagoon 271 km2 with 3 passes at SW, few pinnacles, Dmax ≥ 55m. Ref: Allen Coral Atlas 06/21; M6.",18926595.484417778,1022028.6296328515
Maloelap,Atoll,Marshall Islands,8.7375,171.0411,http://dpanther2.fiu.edu/worldAtolls/300. Maloelap.jpg,"Platform 1068 m2, multiple passes at SW rim. Lagoon 931 km2 with few pinnacles, Dmax 81m. Refs: Allen Coral Atlas 06/21; P10.","Platform 1068 m2, multiple passes at SW rim. Lagoon 931 km2 with few pinnacles, Dmax 81m. Refs: Allen Coral Atlas 06/21; P10.",19040208.156721387,976446.0740201826
Tizard,Atoll Reef,"Spratly Islands, So. China Sea",10.2637,114.3804,http://dpanther2.fiu.edu/worldAtolls/86. Zhenghe.jpg,"aka Zhenghe, includes Petley & Eldad reefs, and Gaven Reef center dredged and filled. Platform 953 km2, submerged at NW & SE. Most of lagoon >20m, Dmax 80m. Refs: Allen Coral Atlas 05/21; P10.","aka Zhenghe, includes Petley & Eldad reefs, and Gaven Reef center dredged and filled. Platform 953 km2, submerged at NW & SE. Most of lagoon >20m, Dmax 80m. Refs: Allen Coral Atlas 05/21; P10.",12732767.88473095,1148709.9788927543
Hopps,Closed Atoll,"Spratly Islands, So. China Sea",10.2507,115.3665,http://dpanther2.fiu.edu/worldAtolls/87. Hejiao.jpg,"aka Hejiao. Triangular atoll reef with 2.0 km2 platform rimmed with coral/algae. Lagoon area shallow ~23 ha, mostly sand & microalgae. Ref: Allen Coral Atlas 05/21.","aka Hejiao. Triangular atoll reef with 2.0 km2 platform rimmed with coral/algae. Lagoon area shallow ~23 ha, mostly sand & microalgae. Ref: Allen Coral Atlas 05/21.",12842540.034602204,1147239.3219535332
Aur,Atoll,Marshall Islands,8.2557,171.0935,http://dpanther2.fiu.edu/worldAtolls/301. Aur.jpg,"Platform 285 with low rim and multiple passes at W/SW. Lagoon 237 km2 with few pinnacles, Dmax 82m. Refs: Allen Coral Atlas 06/21; P10.","Platform 285 with low rim and multiple passes at W/SW. Lagoon 237 km2 with few pinnacles, Dmax 82m. Refs: Allen Coral Atlas 06/21; P10.",19046041.29803896,922216.9942174851
